100; 1594
200; 3867
300; 6468
400; 9123
500; 11964
600; 15127
700; 18086
800; 21069
900; 24660
1000; 27784
1100; 31662
1200; 34634
1300; 38688
1400; 41890
1500; 45235
1600; 49428
1700; 52054
1800; 56448
1900; 59374
2000; 64347
2100; 67592
2200; 71121
2300; 74701
2400; 78044
2500; 83425
2600; 87090
2700; 90907
2800; 94398
2900; 98015
3000; 101448
3100; 107335
3200; 110730
3300; 112748
3400; 118304
3500; 122448
3600; 125691
3700; 129485
3800; 133564
3900; 140116
4000; 143796
4100; 145170
4200; 151158
4300; 155060
4400; 159665
4500; 163031
4600; 166330
4700; 170290
4800; 177651
4900; 180522
5000; 186156
5100; 186988
5200; 193473
5300; 197608
5400; 201721
5500; 205656
5600; 209065
5700; 213014
5800; 216532
5900; 221766
6000; 228544
6100; 232511
6200; 237838
6300; 242141
6400; 241374
6500; 250194
6600; 253652
6700; 257516
6800; 262785
6900; 266187
7000; 270554
7100; 274515
7200; 276970
7300; 282025
7400; 291542
7500; 296644
7600; 299922
7700; 304158
7800; 307323
7900; 312321
8000; 311740
8100; 320839
8200; 325066
8300; 329057
8400; 333330
8500; 338215
8600; 341403
8700; 346033
8800; 350108
8900; 352690
9000; 357809
9100; 361841
9200; 367142
9300; 378468
9400; 383107
9500; 386244
9600; 391806
9700; 396670
9800; 398379
9900; 397527
10000; 408190
